QuickDAQ Data
0001-01-01 00:00:00
Notes:;;
Sample Rate:;250; Hz;
Measurement Type;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;
Channel Name;DT9826-8(00).Ain 1;DT9826-8(00).Ain 2;DT9826-8(00).Ain 3;DT9826-8(00).Ain 4;DT9826-8(00).Ain 5;DT9826-8(00).Ain 6;
X Axis Units;Sec;Sec;Sec;Sec;Sec;Sec;
Y Axis Units;V;V;V;Amps;Amps;Amps;
Seconds;Real;Real;Real;Real;Real;Real;
 0,00000E+000;129,9347877502;-242,4399852753;111,0687255859;-0,3123283386; 0,2050399780;-1,9288063049;
 0,0040000000;-153,7482738495;-84,4137668610;237,9038333893; 0,5090236664;-1,0561943054;-0,8368492126;
 0,0080000000;-225,2895832062;189,0077590942;35,9008312225;-0,9417533875;-1,0788440704; 0,4601478577;
 0,0120000000;14,4252777100;200,2983093262;-215,4443264008;-2,1696090698; 0,2622604370; 0,4684925079;
 0,0160000000;233,5798740387;-66,6236877441;-168,9889431000;-1,9168853760; 1,2409687042;-1,0478496552;
 0,0200000000;129,4777393341;-242,4895763397;111,4737987518;-0,3099441528; 0,3707408905;-1,8107891083;
 0,0240000000;-154,1452407837;-83,9331150055;237,8098964691; 0,5066394806;-1,0490417480;-0,7331371307;
 0,0280000000;-225,1563072205;189,4211769104;35,4444980621;-0,8094310760;-1,0299682617; 0,3445148468;
 0,0320000000;14,9669647217;200,0241279602;-215,6746387482;-2,2268295288; 0,3480911255;-0,2181529999;
 0,0360000000;233,7288856506;-67,2018527985;-168,6081886292;-1,8095970154; 1,0251998901;-1,4054775238;
 0,0400000000;129,0347576141;-242,5005435944;112,0097637177;-0,1490116119;-0,0107288361;-1,8870830536;
 0,0440000000;-154,5836925507;-83,4305286407;237,7476692200; 0,2992153168;-1,3983249664;-0,7855892181;
 0,0480000000;-224,9298095703;189,6638870239;34,8572731018;-1,0371208191;-1,2707710266; 0,4506111145;
 0,0520000000;15,4924392700;199,7590065002;-215,9199714661;-2,3329257965; 0,1990795135; 0,2467632294;
 0,0560000000;233,8981628418;-67,7075386047;-168,2229042053;-2,0575523376; 0,9608268738;-1,3232231140;
 0,0600000000;128,5934448242;-242,5198554993;112,5340461731;-0,2992153168; 0,0953674316;-2,0551681519;
 0,0640000000;-154,9792289734;-82,9310417175;237,7128601074; 0,3564357758;-1,3077259064;-1,0490417480;
 0,0680000000;-224,7645854950;190,0565624237;34,4388484955;-0,9679794312;-1,2564659119; 0,3874301910;
 0,0720000000;16,0307884216;199,4585990906;-216,0837650299;-2,3782253265; 0,2169609070; 0,1382827759;
 0,0760000000;234,0309619904;-68,1941509247;-167,8736209869;-1,7845630646; 0,8988380432;-1,3875961304;
 0,0800000000;128,1940937042;-242,5465583801;112,9612922668;-0,1227855682;-0,0286102295;-1,8978118896;
 0,0840000000;-155,3404331207;-82,4501514435;237,6306056976; 0,3457069397;-1,4281272888;-0,9536743164;
 0,0880000000;-224,5309352875;190,3958320618;33,8430404663;-1,0979175568;-1,2934207916; 0,3993511200;
 0,0920000000;16,6175365448;199,1593837738;-216,3677215576;-2,5546550751; 0,0858306885; 0,0655651093;
