QuickDAQ Data
0001-01-01 00:00:00
Notes:;;
Sample Rate:;250; Hz;
Measurement Type;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;
Channel Name;DT9826-8(00).Ain 1;DT9826-8(00).Ain 2;DT9826-8(00).Ain 3;DT9826-8(00).Ain 4;DT9826-8(00).Ain 5;DT9826-8(00).Ain 6;
X Axis Units;Sec;Sec;Sec;Sec;Sec;Sec;
Y Axis Units;V;V;V;Amps;Amps;Amps;
Seconds;Real;Real;Real;Real;Real;Real;
 0,00000E+000;-240,0343418121;145,0541019440;95,2289104462;-0,5221366882;-1,2671947479; 0,2622604370;
 0,0040000000;-47,0581054688;227,6234626770;-180,7906627655;-2,1839141846;-0,0262260437; 0,3159046173;
 0,0080000000;210,3545665741;-5,8808326721;-207,0155143738;-2,0301342010; 1,0740756989;-1,1265277863;
 0,0120000000;176,8281459808;-232,2151660919;53,3945560455;-0,5650520325; 0,3838539124;-2,1445751190;
 0,0160000000;-101,6974449158;-138,7996673584;239,6759986877; 0,5042552948;-1,1026859283;-1,1265277863;
 0,0200000000;-240,0410175323;145,2622413635;94,9976444244;-0,3504753113;-1,3303756714; 0,2908706665;
 0,0240000000;-46,8349456787;227,5798320770;-180,8998584747;-2,0682811737;-0,0667572021; 0,1883506775;
 0,0280000000;210,4883193970;-6,0782432556;-206,8982124329;-2,0647048950; 1,0359287262;-1,2218952179;
 0,0320000000;176,7299175262;-232,2931289673;53,6406040192;-0,4708766937; 0,4434585571;-1,9693374634;
 0,0360000000;-101,9160747528;-138,5874748230;239,7887706757; 0,5328655243;-1,1217594147;-1,2385845184;
 0,0400000000;-240,0469779968;145,4706192017;94,8445796967;-0,5507469177;-1,4209747314; 0,1573562622;
 0,0440000000;-46,6039180756;227,4584770203;-181,0829639435;-2,0468235016;-0,0667572021; 0,2777576447;
 0,0480000000;210,6645107269;-6,2973499298;-206,8421840668;-1,8239021301; 1,1408329010;-1,0418891907;
 0,0520000000;176,6180992126;-232,3486804962;53,8060665131;-0,2133846283; 0,3957748413;-1,9204616547;
 0,0560000000;-102,1075248718;-138,4661197662;239,7668361664; 0,7522106171;-1,1479854584;-1,2612342834;
 0,0600000000;-240,0097846985;145,6966400146;94,6342945099;-0,4601478577;-1,3482570648; 0,0166893005;
 0,0640000000;-46,4062690735;227,3869514465;-181,2331676483;-2,0408630371;-0,1204013824; 0,2443790436;
 0,0680000000;210,7381820679;-6,5922737122;-206,6926956177;-1,9705295563; 0,9858608246;-1,1706352234;
 0,0720000000;176,3854026794;-232,4588298798;54,0664196014;-0,3540515900; 0,4434585571;-2,0349025726;
 0,0760000000;-102,3852825165;-138,1566524506;239,8266792297; 0,7641315460;-0,9655952454;-1,0967254639;
 0,0800000000;-240,0014400482;145,9426879883;94,4404602051;-0,3516674042;-1,1563301086; 0,4434585571;
 0,0840000000;-46,1564064026;227,2531986237;-181,3778877258;-2,1600723267;-0,0190734863; 0,3623962402;
 0,0880000000;210,8738422394;-6,8933963776;-206,6588401794;-2,1159648895; 1,1110305786;-1,0430812836;
 0,0920000000;176,2464046478;-232,5482368469;54,2376041412;-0,4196166992; 0,6675720215;-1,9729137421;
