QuickDAQ Data
0001-01-01 00:00:00
Notes:;;
Sample Rate:;250; Hz;
Measurement Type;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;
Channel Name;DT9826-8(00).Ain 1;DT9826-8(00).Ain 2;DT9826-8(00).Ain 3;DT9826-8(00).Ain 4;DT9826-8(00).Ain 5;DT9826-8(00).Ain 6;
X Axis Units;Sec;Sec;Sec;Sec;Sec;Sec;
Y Axis Units;V;V;V;Amps;Amps;Amps;
Seconds;Real;Real;Real;Real;Real;Real;
 0,00000E+000;225,1346111298;-41,0923957825;-186,6085529327;-1,8918514252; 1,0347366333;-1,2266635895;
 0,0040000000;151,1523723602;-239,8247718811;87,1837139130;-0,1096725464; 0,2813339233;-1,9240379333;
 0,0080000000;-131,9553852081;-108,7136268616;240,5400276184; 0,5090236664;-1,3494491577;-1,0251998901;
 0,0120000000;-233,4401607513;171,1382865906;62,3006820679;-0,9071826935;-1,3744831085; 0,3671646118;
 0,0160000000;-13,1821632385;213,9894962311;-201,6253471375;-2,4390220642; 0,1084804535; 0,3397464752;
 0,0200000000;224,5383262634;-39,6533012390;-187,5524520874;-2,1183490753; 1,0478496552;-1,0836124420;
 0,0240000000;152,3933410645;-239,6497726440;85,6990814209;-0,4112720490; 0,1788139343;-1,8715858459;
 0,0280000000;-130,5379867554;-110,1701259613;240,6880855560; 0,6258487701;-1,2469291687;-0,9322166443;
 0,0320000000;-233,8802814484;170,0162887573;63,8914108276;-0,6830692291;-1,3172626495; 0,4267692566;
 0,0360000000;-14,8179531097;214,7443294525;-200,8337974548;-2,2614002228;-0,1406669617; 0,3480911255;
 0,0400000000;224,0645885468;-38,1021499634;-188,5972023010;-2,0372867584; 0,8833408356;-1,0931491852;
 0,0440000000;153,6285877228;-239,4027709961;84,2659473419;-0,4673004150; 0,1943111420;-1,9645690918;
 0,0480000000;-129,2634010315;-111,5188598633;240,7298088074; 0,3373622894;-1,3697147369;-1,0883808136;
 0,0520000000;-234,2438697815;168,9639091492;65,3178691864;-0,8082389832;-1,5687942505; 0,2753734589;
 0,0560000000;-16,3636207581;215,4698371887;-199,9552249908;-2,1898746490; 0,0095367432; 0,2706050873;
 0,0600000000;223,4556674957;-36,5283489227;-189,5475387573;-1,6748905182; 0,9179115295;-0,9036064148;
 0,0640000000;154,8156738281;-239,1448020935;82,8227996826;-0,1263618469; 0,1525878906;-1,8298625946;
 0,0680000000;-128,0314922333;-112,8628253937;240,7665252686; 0,4148483276;-1,2171268463;-1,0573863983;
 0,0720000000;-234,6160411835;167,8133010864;66,7860507965;-0,9310245514;-1,4984607697; 0,1096725464;
 0,0760000000;-17,8132057190;216,1233425140;-199,1195678711;-2,3615360260;-0,0953674316; 0,1561641693;
 0,0800000000;222,8658199310;-35,0327491760;-190,4249191284;-2,1195411682; 1,0395050049;-1,2242794037;
 0,0840000000;155,8954715729;-238,7466430664;81,3932418823;-0,3719329834; 0,2336502075;-2,1302700043;
 0,0880000000;-126,6453266144;-114,2485141754;240,7722473145; 0,5125999451;-1,2195110321;-1,1396408081;
 0,0920000000;-234,9288463593;166,6445732117;68,2153701782;-0,7414817810;-1,4722347260; 0,4017353058;
