QuickDAQ Data
0001-01-01 00:00:00
Notes:;;
Sample Rate:;250; Hz;
Measurement Type;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;
Channel Name;DT9826-8(00).Ain 1;DT9826-8(00).Ain 2;DT9826-8(00).Ain 3;DT9826-8(00).Ain 4;DT9826-8(00).Ain 5;DT9826-8(00).Ain 6;
X Axis Units;Sec;Sec;Sec;Sec;Sec;Sec;
Y Axis Units;V;V;V;Amps;Amps;Amps;
Seconds;Real;Real;Real;Real;Real;Real;
 0,00000E+000;-107,9363822937;241,3699626923;-133,6209774017;-1,9216537476;-0,3552436829; 0,5352497101;
 0,0040000000;173,1190681458;57,7609539032;-233,1509590149;-2,3818016052; 0,9334087372;-0,5984306335;
 0,0080000000;214,5922183990;-206,7699432373;-9,9661350250;-0,9036064148; 0,5781650543;-1,8835067749;
 0,0120000000;-41,1252975464;-187,0143413544;226,6757488251; 0,4899501801;-0,8857250214;-1,5056133270;
 0,0160000000;-240,2589321136;90,2087688446;150,3398418427;-0,3600120544;-1,4889240265;-0,0929832458;
 0,0200000000;-107,6693534851;241,4157390594;-134,0208053589;-2,0682811737;-0,1728534698; 0,6091594696;
 0,0240000000;173,3398437500;57,4290752411;-233,0660820007;-2,4235248566; 0,9906291962;-0,5757808685;
 0,0280000000;214,4083976746;-206,9904804230;-9,5431804657;-0,9024143219; 0,7247924805;-1,8310546875;
 0,0320000000;-41,5396690369;-186,8178844452;226,8357276917; 0,4017353058;-0,6699562073;-1,4686584473;
 0,0360000000;-240,3740882874;90,5702114105;150,0408649445;-0,1358985901;-1,1420249939; 0,0381469727;
 0,0400000000;-107,3980331421;241,4305210114;-134,2933177948;-1,8513202667;-0,1406669617; 0,6723403931;
 0,0440000000;173,5348701477;57,1722984314;-232,9611778259;-2,5033950806; 0,9620189667;-0,4971027374;
 0,0480000000;214,3256664276;-207,1294784546;-9,2501640320;-1,1575222015; 0,7319450378;-1,7738342285;
 0,0520000000;-41,8987274170;-186,5296363831;226,9182205200; 0,5173683167;-0,6163120270;-1,4519691467;
 0,0560000000;-240,4773235321;90,8966064453;149,8279571533;-0,2086162567;-1,3673305511;-0,1382827759;
 0,0600000000;-107,0704460144;241,3516044617;-134,5570087433;-2,0790100098;-0,3194808960; 0,4458427429;
 0,0640000000;173,7990379334;56,7440986633;-232,8686714172;-2,4390220642; 0,9262561798;-0,4971027374;
 0,0680000000;214,0755653381;-207,3602676392;-8,8775157928;-1,0240077972; 0,6878376007;-1,8882751465;
 0,0720000000;-42,1969890594;-186,3753795624;227,0405292511; 0,1823902130;-0,8606910706;-1,4865398407;
 0,0760000000;-240,4108047485;91,1574363708;149,4989395142;-0,4971027374;-1,4078617096; 0,0965595245;
 0,0800000000;-106,7786216736;241,4095401764;-134,8819732666;-2,0003318787;-0,2658367157; 0,5221366882;
 0,0840000000;174,0038394928;56,4889907837;-232,8767776489;-2,3722648621; 1,0943412781;-0,6628036499;
 0,0880000000;213,9787673950;-207,5321674347;-8,6319446564;-0,9047985077; 0,8630752563;-1,5342235565;
 0,0920000000;-42,5403118134;-186,1898899078;227,1687984467; 0,4506111145;-0,7212162018;-1,2123584747;
