QuickDAQ Data
0001-01-01 00:00:00
Notes:;;
Sample Rate:;250; Hz;
Measurement Type;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;
Channel Name;DT9826-8(00).Ain 1;DT9826-8(00).Ain 2;DT9826-8(00).Ain 3;DT9826-8(00).Ain 4;DT9826-8(00).Ain 5;DT9826-8(00).Ain 6;
X Axis Units;Sec;Sec;Sec;Sec;Sec;Sec;
Y Axis Units;V;V;V;Amps;Amps;Amps;
Seconds;Real;Real;Real;Real;Real;Real;
 0,00000E+000;-144,1345214844;239,1605377197;-95,2842235565;-1,6951560974;-0,4935264587; 0,5841255188;
 0,0040000000;139,1777992249;98,7362861633;-239,5503520966;-2,1684169769; 0,8177757263;-0,2956390381;
 0,0080000000;230,1549911499;-178,9553165436;-53,0931949615;-0,8010864258; 0,8833408356;-1,5389919281;
 0,0120000000; 3,0970573425;-211,1570835114;206,3848972321; 0,4053115845;-0,5245208740;-1,3685226440;
 0,0160000000;-228,5768985748;47,1074581146;181,6465854645; 0,0751018524;-1,2910366058;-0,1287460327;
 0,0200000000;-145,4403400421;239,0787601471;-93,7814712524;-1,5103816986;-0,3957748413; 0,6639957428;
 0,0240000000;137,9525661469;100,0974178314;-239,6237850189;-2,3877620697; 0,7879734039;-0,2276897430;
 0,0280000000;230,6666374207;-177,9298782349;-54,5074939728;-1,2791156769; 0,8606910706;-1,7380714417;
 0,0320000000; 4,6133995056;-211,8790149689;205,6241035461; 0,3230571747;-0,4363059998;-1,5640258789;
 0,0360000000;-228,0361652374;45,6314086914;182,6019287109; 0,0214576721;-1,3768672943;-0,4363059998;
 0,0400000000;-146,6188430786;238,9390468597;-92,4479961395;-1,6140937805;-0,5781650543; 0,3695487976;
 0,0440000000;136,7552280426;101,4678478241;-239,7925853729;-2,3746490479; 0,8428096771;-0,2562999725;
 0,0480000000;231,1327457428;-176,9747734070;-56,0181140900;-1,1587142944; 0,8153915405;-1,5151500702;
 0,0520000000; 6,1237812042;-212,6204967499;204,8101425171; 0,3969669342;-0,7641315460;-1,6736984253;
 0,0560000000;-227,5009155273;44,2488193512;183,5975646973;-0,1096725464;-1,7368793488;-0,2694129944;
 0,0600000000;-147,7723121643;238,6965751648;-91,0534858704;-1,8060207367;-0,7247924805; 0,6484985352;
 0,0640000000;135,4174613953;102,7367115021;-239,9256229401;-2,2447109222; 0,6806850433;-0,2264976501;
 0,0680000000;231,4863204956;-175,9898662567;-57,4824810028;-1,0728836060; 0,6556510925;-1,6343593597;
 0,0720000000; 7,5912475586;-213,3212089539;204,0758132935; 0,3755092621;-0,6330013275;-1,7869472504;
 0,0760000000;-227,0262241364;42,8345203400;184,5867633820;-0,0786781311;-1,6140937805;-0,5149841309;
 0,0800000000;-148,9548683167;238,5003566742;-89,6837711334;-1,7869472504;-0,8070468903; 0,3802776337;
 0,0840000000;134,2895030975;104,0282249451;-240,0236129761;-2,5701522827; 0,5793571472;-0,4136562347;
 0,0880000000;231,9452762604;-174,9768257141;-58,8700771332;-1,0991096497; 0,7700920105;-1,7189979553;
 0,0920000000; 9,1023445129;-214,0593528748;203,3400535584; 0,4673004150;-0,5269050598;-1,5103816986;
