QuickDAQ Data
0001-01-01 00:00:00
Notes:;;
Sample Rate:;250; Hz;
Measurement Type;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;
Channel Name;DT9826-8(00).Ain 1;DT9826-8(00).Ain 2;DT9826-8(00).Ain 3;DT9826-8(00).Ain 4;DT9826-8(00).Ain 5;DT9826-8(00).Ain 6;
X Axis Units;Sec;Sec;Sec;Sec;Sec;Sec;
Y Axis Units;V;V;V;Amps;Amps;Amps;
Seconds;Real;Real;Real;Real;Real;Real;
 0,00000E+000;160,0692272186;74,5875835419;-236,3817691803;-2,4414062500; 0,9179115295;-0,2384185791;
 0,0040000000;221,4548587799;-195,9462165833;-27,5707244873;-0,8344650269; 0,6282329559;-1,5187263489;
 0,0080000000;-23,6458778381;-197,2823143005;219,0525531769; 0,3981590271;-0,9143352509;-1,3554096222;
 0,0120000000;-236,3483905792;72,9014873505;163,5870933533;-0,1442432404;-1,5115737915; 0,1227855682;
 0,0160000000;-123,0583190918;241,0597801209;-118,0217266083;-1,7499923706;-0,5304813385; 0,7045269012;
 0,0200000000;159,7938537598;74,9433040619;-236,4687919617;-2,3245811462; 0,9727478027;-0,3242492676;
 0,0240000000;221,5816974640;-195,6965923309;-27,8768539429;-0,9858608246; 0,9608268738;-1,5819072723;
 0,0280000000;-23,3514308929;-197,4608898163;218,9359664917; 0,3409385681;-0,6783008575;-1,3172626495;
 0,0320000000;-236,2935543060;72,6530551910;163,7849807739;-0,2956390381;-1,6033649445;-0,1978874207;
 0,0360000000;-123,2621669769;241,0376071930;-117,7375316620;-2,1314620972;-0,6818771362; 0,3635883331;
 0,0400000000;159,5861911774;75,2670764923;-236,5481853485;-2,6237964630; 0,7951259613;-0,6699562073;
 0,0440000000;221,7781543732;-195,5413818359;-28,2258987427;-1,1336803436; 0,6055831909;-1,8894672394;
 0,0480000000;-22,9861736298;-197,7150440216;218,7554836273; 0,5173683167;-0,7486343384;-1,3637542725;
 0,0520000000;-236,2089157104;72,3216533661;163,9406681061; 0,1478195190;-1,5330314636;-0,0190734863;
 0,0560000000;-123,5773563385;241,0771846771;-117,4979209900;-1,8620491028;-0,7021427155; 0,5662441254;
 0,0600000000;159,3406200409;75,5739212036;-236,5493774414;-2,3293495178; 0,8535385132;-0,3361701965;
 0,0640000000;221,8420505524;-195,3396797180;-28,5310745239;-0,8857250214; 0,7724761963;-1,5938282013;
 0,0680000000;-22,6945877075;-197,8995800018;218,6191082001; 0,3695487976;-0,8630752563;-1,2099742889;
 0,0720000000;-236,1495494843;71,9542503357;164,2315387726;-0,2837181091;-1,4984607697; 0,0202655792;
 0,0760000000;-123,8486766815;241,0452365875;-117,2363758087;-2,0718574524;-0,5018711090; 0,5924701691;
 0,0800000000;159,0628623962;75,8583545685;-236,6564273834;-2,3853778839; 0,7939338684;-0,4398822784;
 0,0840000000;221,9316959381;-195,2023506165;-28,8171768188;-1,0049343109; 0,6616115570;-1,8465518951;
 0,0880000000;-22,4227905273;-198,0550289154;218,5039520264; 0,3945827484;-0,8273124695;-1,4424324036;
 0,0920000000;-236,1266613007;71,7124938965;164,4208431244;-0,2205371857;-1,4209747314; 0,0536441803;
