QuickDAQ Data
0001-01-01 00:00:00
Notes:;;
Sample Rate:;250; Hz;
Measurement Type;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;
Channel Name;DT9826-8(00).Ain 1;DT9826-8(00).Ain 2;DT9826-8(00).Ain 3;DT9826-8(00).Ain 4;DT9826-8(00).Ain 5;DT9826-8(00).Ain 6;
X Axis Units;Sec;Sec;Sec;Sec;Sec;Sec;
Y Axis Units;V;V;V;Amps;Amps;Amps;
Seconds;Real;Real;Real;Real;Real;Real;
 0,00000E+000;-123,7351894379;-116,7569160461;240,1189804077; 0,8213520050;-1,0919570923;-1,2385845184;
 0,0040000000;-234,9195480347;164,0360355377;71,0587501526;-0,5996227264;-1,3887882233; 0,1323223114;
 0,0080000000;-21,9457149506;217,4208164215;-195,8494186401;-2,3460388184;-0,1180171967; 0,1168251038;
 0,0120000000;220,7102775574;-30,7326316833;-192,4610137939;-2,0837783813; 0,8976459503;-1,1551380157;
 0,0160000000;158,4486961365;-237,3859882355;77,1319866180;-0,3373622894; 0,1740455627;-1,9967556000;
 0,0200000000;-123,0628490448;-117,4149513245;240,0441169739; 0,4482269287;-1,0681152344;-1,2743473053;
 0,0240000000;-235,1126670837;163,4294986725;71,8250274658;-0,9977817535;-1,2779235840; 0,1096725464;
 0,0280000000;-22,7537155151;217,8339958191;-195,3811645508;-2,4950504303;-0,1335144043; 0,2145767212;
 0,0320000000;220,3786373138;-29,8571586609;-192,9495334625;-2,1541118622; 0,8618831635;-1,0728836060;
 0,0360000000;159,0509414673;-237,1716499329;76,3885974884;-0,3063678741; 0,3910064697;-1,9288063049;
 0,0400000000;-122,3647594452;-118,1032657623;240,0095462799; 0,3480911255;-1,1897087097;-1,1742115021;
 0,0440000000;-235,2540493011;162,7817153931;72,6354122162;-0,9691715240;-1,2731552124; 0,2443790436;
 0,0480000000;-23,5872268677;218,0998325348;-194,8180198669;-2,5177001953;-0,0071525574; 0,3206729889;
 0,0520000000;220,0317382813;-29,1011333466;-193,4394836426;-2,1922588348; 0,9131431580;-1,1503696442;
 0,0560000000;159,7330570221;-237,0164394379;75,5593776703;-0,4065036774; 0,2002716064;-2,0372867584;
 0,0600000000;-121,5968132019;-118,7469959259;240,1030063629; 0,4315376282;-1,2540817261;-1,2600421906;
 0,0640000000;-235,4490756989;162,4107360840;73,3740329742;-0,7617473602;-1,4615058899; 0,2419948578;
 0,0680000000;-24,4247913361;218,4393405914;-194,4491863251;-2,1970272064;-0,0834465027; 0,1740455627;
 0,0720000000;219,6705341339;-28,4552574158;-193,8996315002;-2,0241737366; 0,9369850159;-1,2004375458;
 0,0760000000;160,3007316589;-236,9215488434;74,7847557068;-0,2849102020; 0,2169609070;-1,8942356110;
 0,0800000000;-120,9526062012;-119,4200515747;240,0500774384; 0,5757808685;-1,1682510376;-1,0931491852;
 0,0840000000;-235,6178760529;161,8137359619;74,1262435913;-0,6377696991;-1,4007091522; 0,3194808960;
 0,0880000000;-25,1924991608;218,7778949738;-193,9442157745;-2,2697448730;-0,1037120819; 0,1728534698;
 0,0920000000;219,4497585297;-27,6463031769;-194,3771839142;-1,9836425781; 0,9322166443;-1,2207031250;
