QuickDAQ Data
0001-01-01 00:00:00
Notes:;;
Sample Rate:;250; Hz;
Measurement Type;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;
Channel Name;DT9826-8(00).Ain 1;DT9826-8(00).Ain 2;DT9826-8(00).Ain 3;DT9826-8(00).Ain 4;DT9826-8(00).Ain 5;DT9826-8(00).Ain 6;
X Axis Units;Sec;Sec;Sec;Sec;Sec;Sec;
Y Axis Units;V;V;V;Amps;Amps;Amps;
Seconds;Real;Real;Real;Real;Real;Real;
 0,00000E+000;216,4373397827;-202,6741504669;-15,6621932983;-0,7688999176; 0,7271766663;-1,6820430756;
 0,0040000000;-34,8603725433;-189,9623870850;223,7217426300; 0,4982948303;-0,7319450378;-1,5223026276;
 0,0080000000;-238,3251190186;84,0554237366;155,0624370575;-0,3612041473;-1,6713142395;-0,1084804535;
 0,0120000000;-113,4674549103;241,0857677460;-127,5684833527;-2,0527839661;-0,6997585297; 0,5209445953;
 0,0160000000;167,4287319183;64,4853115082;-234,0707778931;-2,3698806763; 0,6258487701;-0,5161762238;
 0,0200000000;217,1275615692;-201,8229961395;-17,2064304352;-0,8451938629; 0,5781650543;-1,8060207367;
 0,0240000000;-33,2703590393;-190,9852027893;223,1597900391; 0,4053115845;-0,7534027100;-1,5878677368;
 0,0280000000;-238,0504608154;82,4942588806;156,2981605530;-0,2551078796;-1,6272068024;-0,3445148468;
 0,0320000000;-114,8815155029;240,9996986389;-126,1329650879;-1,9240379333;-0,3886222839; 0,3516674042;
 0,0360000000;166,2888526917;66,0009384155;-234,4536781311;-2,3090839386; 1,1813640594;-0,5376338959;
 0,0400000000;217,9219722748;-200,8812427521;-18,9297199249;-0,7867813110; 0,9453296661;-1,8155574799;
 0,0440000000;-31,5482616425;-192,0359134674;222,4819660187; 0,4732608795;-0,6973743439;-1,6117095947;
 0,0480000000;-237,6778125763;80,9457302094;157,5314998627;-0,0679492950;-1,3434886932;-0,1811981201;
 0,0520000000;-116,3167953491;241,1150932312;-124,8302459717;-2,0015239716;-0,5578994751; 0,6031990051;
 0,0560000000;165,1573181152;67,6181316376;-234,8418235779;-2,5320053101; 0,8308887482;-0,4708766937;
 0,0600000000;218,5542583466;-199,8994350433;-20,5428600311;-0,9477138519; 0,6008148193;-1,9466876984;
 0,0640000000;-29,9651622772;-192,9895877838;221,8322753906; 0,4577636719;-0,8785724640;-1,6689300537;
 0,0680000000;-237,4117374420;79,3149471283;158,7903499603;-0,1943111420;-1,5616416931;-0,2670288086;
 0,0720000000;-117,8157329559;241,1656379700;-123,3491897583;-1,8107891083;-0,5292892456; 0,5805492401;
 0,0760000000;163,9511585236;69,1280364990;-235,2049350739;-2,3698806763; 0,8153915405;-0,5757808685;
 0,0800000000;219,3095684052;-199,0809440613;-22,1531391144;-0,9381771088; 0,5829334259;-1,8620491028;
 0,0840000000;-28,3932685852;-193,8948631287;221,1987972260; 0,4625320435;-0,5805492401;-1,4233589172;
 0,0880000000;-237,1389865875;77,8968334198;159,9183082581; 0,0071525574;-1,2719631195;-0,0560283661;
 0,0920000000;-119,1802024841;241,1441802979;-122,0111846924;-1,6462802887;-0,5197525024; 0,4374980927;
