QuickDAQ Data
0001-01-01 00:00:00
Notes:;;
Sample Rate:;250; Hz;
Measurement Type;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;
Channel Name;DT9826-8(00).Ain 1;DT9826-8(00).Ain 2;DT9826-8(00).Ain 3;DT9826-8(00).Ain 4;DT9826-8(00).Ain 5;DT9826-8(00).Ain 6;
X Axis Units;Sec;Sec;Sec;Sec;Sec;Sec;
Y Axis Units;V;V;V;Amps;Amps;Amps;
Seconds;Real;Real;Real;Real;Real;Real;
 0,00000E+000;198,5824108124;-220,1201915741;19,2303657532;-0,9858608246; 0,6854534149;-1,9836425781;
 0,0040000000;-69,8373317719;-165,9870147705;234,1828346252; 0,6866455078;-1,1241436005;-1,8405914307;
 0,0080000000;-242,0701980591;116,2996292114;126,0895729065; 0,0154972076;-1,7452239990;-0,3683567047;
 0,0120000000;-80,3282260895;236,7906570435;-156,1729907990;-2,0813941956;-0,4935264587; 0,2217292786;
 0,0160000000;191,7819976807;28,8739204407;-222,8097915649;-2,6893615723; 0,7736682892;-0,6949901581;
 0,0200000000;198,8468170166;-219,8624610901;18,7263488770;-0,8249282837; 0,6949901581;-1,8680095673;
 0,0240000000;-69,3204402924;-166,3763523102;234,0703010559; 0,8380413055;-0,7545948029;-1,6212463379;
 0,0280000000;-242,0337200165;115,9057617188;126,5673637390; 0,0762939453;-1,4066696167;-0,1776218414;
 0,0320000000;-80,7735919952;236,9275093079;-155,7888984680;-2,0599365234;-0,3445148468; 0,5233287811;
 0,0360000000;191,5338039398;29,4475555420;-222,9886054993;-2,7942657471; 0,9131431580;-0,2813339233;
 0,0400000000;199,1598606110;-219,6710109711;18,2280540466;-1,0573863983; 0,6806850433;-1,5568733215;
 0,0440000000;-68,7866210938;-166,8093204498;233,9413166046; 0,6556510925;-0,9346008301;-1,5497207642;
 0,0480000000;-242,0327663422;115,3824329376;127,0046234131; 0,0679492950;-1,4996528625;-0,1502037048;
 0,0520000000;-81,3512802124;236,9596958160;-155,3759574890;-2,0599365234;-0,2551078796; 0,4911422729;
 0,0560000000;191,1199092865;29,9363136292;-223,2565879822;-2,5510787964; 0,9882450104;-0,5328655243;
 0,0600000000;199,4109153748;-219,4499969482;17,6501274109;-1,0144710541; 0,7379055023;-1,8286705017;
 0,0640000000;-68,2902336121;-167,1726703644;233,8416576386; 0,4792213440;-0,6687641144;-1,6379356384;
 0,0680000000;-242,0091629028;114,8858070374;127,4559497833;-0,0250339508;-1,5163421631;-0,4065036774;
 0,0720000000;-81,8390846252;237,1118068695;-154,9379825592;-2,0456314087;-0,5245208740; 0,4148483276;
 0,0760000000;190,7830238342;30,5168628693;-223,4137058258;-2,6261806488; 0,8666515350;-0,4553794861;
 0,0800000000;199,7411251068;-219,1770076752;17,1327590942;-0,8130073547; 0,4959106445;-1,7273426056;
 0,0840000000;-67,7900314331;-167,5136089325;233,7157726288; 0,8094310760;-1,0180473328;-1,4328956604;
 0,0880000000;-241,9884204865;114,4599914551;127,8982162476; 0,0929832458;-1,6367435455;-0,2086162567;
 0,0920000000;-82,3020935059;237,2269630432;-154,5498371124;-2,1660327911;-0,2670288086; 0,2717971802;
