QuickDAQ Data
0001-01-01 00:00:00
Notes:;;
Sample Rate:;250; Hz;
Measurement Type;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;
Channel Name;DT9826-8(00).Ain 1;DT9826-8(00).Ain 2;DT9826-8(00).Ain 3;DT9826-8(00).Ain 4;DT9826-8(00).Ain 5;DT9826-8(00).Ain 6;
X Axis Units;Sec;Sec;Sec;Sec;Sec;Sec;
Y Axis Units;V;V;V;Amps;Amps;Amps;
Seconds;Real;Real;Real;Real;Real;Real;
 0,00000E+000;-5,4557323456;211,0030651093;-206,1302661896;-2,4139881134; 0,00000E+000; 0,4136562347;
 0,0040000000;228,3923625946;-47,9722023010;-183,1896305084;-2,0134449005; 1,0395050049;-0,9703636169;
 0,0080000000;145,8971500397;-241,7094707489;93,6655998230;-0,4184246063; 0,0870227814;-1,8596649170;
 0,0120000000;-139,0745639801;-102,1280288696;240,7729625702; 0,3099441528;-1,3446807861;-0,9083747864;
 0,0160000000;-231,9858074188;177,3364543915;54,7356605530;-0,9775161743;-1,1944770813; 0,3397464752;
 0,0200000000;-4,0447711945;210,3147506714;-206,9022655487;-2,2840499878; 0,2968311310; 0,1895427704;
 0,0240000000;228,8243770599;-49,3078231812;-182,3523044586;-2,0861625671; 1,1932849884;-1,1301040649;
 0,0280000000;144,7317600250;-241,8346405029;94,9294567108;-0,5185604095; 0,4065036774;-1,8465518951;
 0,0320000000;-140,2037143707;-100,8303165436;240,6573295593; 0,1466274261;-1,2314319611;-0,8928775787;
 0,0360000000;-231,6143512726;178,3246994019;53,4079074860;-0,9131431580;-1,3136863708; 0,4363059998;
 0,0400000000;-2,6948451996;209,6021175385;-207,5588703156;-2,2625923157; 0,2980232239; 0,2562999725;
 0,0440000000;229,2492389679;-50,6970882416;-181,4115047455;-2,0205974579; 1,1932849884;-1,0836124420;
 0,0480000000;143,5995101929;-241,9950962067;96,1477756500;-0,4410743713; 0,2336502075;-1,8799304962;
 0,0520000000;-141,3705348969;-99,5783805847;240,4611110687; 0,0584125519;-1,1706352234;-0,9751319885;
 0,0560000000;-231,1499118805;179,2278289795;51,9886016846;-1,0538101196;-1,0883808136; 0,3433227539;
 0,0600000000;-1,2445449829;208,9118957520;-208,3303928375;-2,3698806763; 0,2825260162; 0,3123283386;
 0,0640000000;229,7310829163;-52,1306991577;-180,4311275482;-2,0527839661; 1,1932849884;-0,9310245514;
 0,0680000000;142,4572467804;-242,1629428864;97,5601673126;-0,3373622894; 0,3385543823;-1,5926361084;
 0,0720000000;-142,5588130951;-98,2131958008;240,3502464294; 0,4243850708;-1,1563301086;-0,6854534149;
 0,0760000000;-230,6756973267;180,2167892456;50,5182743073;-0,9346008301;-1,2695789337; 0,4243850708;
 0,0800000000; 0,3118515015;208,1551551819;-209,0687751770;-2,5904178619; 0,0989437103; 0,1633167267;
 0,0840000000;230,2553653717;-53,5688400269;-179,4788837433;-2,2101402283; 1,0228157043;-1,1289119720;
 0,0880000000;141,2730216980;-242,3183917999;98,9253520966;-0,4124641418; 0,1835823059;-1,7881393433;
 0,0920000000;-143,7895298004;-96,8461036682;240,2777671814; 0,4053115845;-1,3446807861;-0,7390975952;
