QuickDAQ Data
0001-01-01 00:00:00
Notes:;;
Sample Rate:;250; Hz;
Measurement Type;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;
Channel Name;DT9826-8(00).Ain 1;DT9826-8(00).Ain 2;DT9826-8(00).Ain 3;DT9826-8(00).Ain 4;DT9826-8(00).Ain 5;DT9826-8(00).Ain 6;
X Axis Units;Sec;Sec;Sec;Sec;Sec;Sec;
Y Axis Units;V;V;V;Amps;Amps;Amps;
Seconds;Real;Real;Real;Real;Real;Real;
 0,2080000000;-233,7157726288;172,1985340118;61,7339611053;-0,6210803986;-1,4376640320; 0,4005432129;
 0,2120000000;-11,8458271027;213,9832973480;-202,4805545807;-2,1874904633; 0,0357627869; 0,3099441528;
 0,2160000000;225,7730960846;-41,0666465759;-186,9480609894;-1,7058849335; 1,1360645294;-1,3089179993;
 0,2200000000;151,2866020203;-240,2520179749;87,3773097992;-0,0095367432; 0,2932548523;-2,1362304688;
 0,2240000000;-132,6100826263;-108,4201335907;240,8969402313; 0,5984306335;-1,2469291687;-1,1098384857;
 0,2280000000;-233,7043285370;172,1055507660;61,8152618408;-0,6747245789;-1,4293193817; 0,3767013550;
 0,2320000000;-12,0356082916;214,0791416168;-202,4195194244;-2,2876262665; 0,0047683716; 0,4029273987;
 0,2360000000;225,6646156311;-40,9219264984;-187,0052814484;-1,9693374634; 0,8571147919;-1,1670589447;
 0,2400000000;151,3259410858;-240,2267456055;87,3634815216;-0,1442432404; 0,1621246338;-2,1386146545;
 0,2440000000;-132,5705051422;-108,4573268890;240,9238815308; 0,5793571472;-1,1503696442;-1,1825561523;
 0,2480000000;-233,6628437042;172,0223426819;61,9654655457;-0,7212162018;-1,2624263763; 0,1990795135;
 0,2520000000;-12,1724605560;214,1504287720;-202,3582458496;-2,1696090698; 0,0524520874;-0,1037120819;
 0,2560000000;225,5725860596;-40,8346652985;-187,1516704559;-1,9073486328; 1,1360645294;-1,4615058899;
 0,2600000000;151,4749526978;-240,3204441071;87,1925354004;-0,3063678741; 0,3314018250;-1,8870830536;
 0,2640000000;-132,4946880341;-108,6349487305;240,9667968750; 0,6771087646;-1,3482570648;-1,0609626770;
 0,2680000000;-233,7403297424;172,0166206360;61,9683265686;-0,6544589996;-1,4340877533; 0,3516674042;
 0,2720000000;-12,1738910675;214,1566276550;-202,3193836212;-2,1255016327; 0,0905990601; 0,2837181091;
 0,2760000000;225,5668640137;-40,7893657684;-187,0892047882;-1,8310546875; 1,0681152344;-1,1551380157;
 0,2800000000;151,5700817108;-240,1819229126;87,1624946594;-0,1597404480; 0,3576278687;-1,9228458405;
 0,2840000000;-132,3065757751;-108,6797714233;240,9756183624; 0,7331371307;-0,8952617645;-1,0395050049;
 0,2880000000;-233,7923049927;171,9412803650;62,1635913849;-0,7057189941;-1,1312961578; 0,3731250763;
 0,2920000000;-12,3188495636;214,3347263336;-202,2705078125;-2,2542476654; 0,0107288361; 0,2944469452;
 0,2960000000;225,6357669830;-40,6484603882;-187,2308254242;-2,0503997803; 0,9799003601;-1,0299682617;
 0,3000000000;151,6056060791;-240,2098178864;87,1212482452;-0,1955032349; 0,1955032349;-1,9192695618;
 0,3040000000;-132,3566436768;-108,7505817413;240,9665584564; 0,7236003876;-1,2767314911;-1,1825561523;
 0,3080000000;-233,8013648987;171,8537807465;62,1597766876;-0,5602836609;-1,3458728790; 0,1692771912;
 0,3120000000;-12,3441219330;214,2689228058;-202,2416591644;-2,0742416382; 0,0107288361; 0,1764297485;
 0,3160000000;225,5270481110;-40,4944419861;-187,2813701630;-1,8620491028; 1,0895729065;-1,1253356934;
 0,3200000000;151,6528129578;-240,1852607727;86,9245529175;-0,1907348633; 0,2622604370;-1,9621849060;
 0,3240000000;-132,2183609009;-108,9012622833;240,9541606903; 0,5769729614;-1,1885166168;-1,1539459229;
 0,3280000000;-233,8087558746;171,7638969421;62,3323917389;-0,7569789886;-1,3136863708; 0,1418590546;
 0,3320000000;-12,4976634979;214,2798900604;-202,1677494049;-2,2852420807; 0,2324581146; 0,2098083496;
 0,3360000000;225,4843711853;-40,4109954834;-187,3681545258;-1,7893314362; 1,1301040649;-1,0895729065;
 0,3400000000;151,7863273621;-240,1936054230;86,7843627930;-0,0715255737; 0,4422664642;-1,8477439880;
 0,3440000000;-132,0676803589;-108,9901924133;240,9589290619; 0,6175041199;-1,0943412781;-1,0061264038;
 0,3480000000;-233,8972091675;171,7073917389;62,4914169312;-0,5292892456;-1,2767314911; 0,3755092621;
 0,3520000000;-12,7053260803;214,4958972931;-202,1417617798;-2,0754337311; 0,0667572021; 0,4374980927;
 0,3560000000;225,4588603973;-40,2755737305;-187,4661445618;-1,7774105072; 1,1694431305;-1,0061264038;
 0,3600000000;151,7970561981;-240,1802539825;86,8055820465; 0,0357627869; 0,3254413605;-1,9598007202;
 0,3640000000;-132,1046352386;-109,0478897095;240,9956455231; 0,6186962128;-1,2052059174;-0,9429454803;
 0,3680000000;-233,8027954102;171,5309619904;62,4916553497;-0,8320808411;-1,1801719666; 0,3731250763;
 0,3720000000;-12,6559734344;214,3838405609;-202,0385265350;-2,3341178894; 0,1800060272; 0,0834465027;
 0,3760000000;225,4705429077;-40,2166843414;-187,4792575836;-1,9562244415; 1,2457370758;-1,2159347534;
 0,3800000000;151,9439220428;-240,1123046875;86,6541862488;-0,1835823059; 0,3767013550;-2,0420551300;
 0,3840000000;-131,9615840912;-109,1444492340;241,0197257996; 0,6330013275;-1,0979175568;-1,1932849884;
 0,3880000000;-233,8578701019;171,5259552002;62,6094341278;-0,6151199341;-1,3291835785; 0,3015995026;
 0,3920000000;-12,7336978912;214,4906520844;-202,0282745361;-2,0015239716; 0,0238418579; 0,1299381256;
 0,3960000000;225,3859043121;-40,1749610901;-187,5174045563;-1,7249584198; 0,9310245514;-1,2111663818;
 0,4000000000;151,9646644592;-240,1132583618;86,6475105286; 0,0894069672; 0,1323223114;-1,9896030426;
 0,4040000000;-131,9084167480;-109,2092990875;241,0702705383; 0,7188320160;-1,1968612671;-1,0442733765;
 0,4080000000;-233,9398860931;171,5378761292;62,7479553223;-0,6496906281;-1,1217594147; 0,2956390381;
 0,4120000000;-12,8703117371;214,5631313324;-201,9603252411;-2,1564960480; 0,2253055573; 0,2169609070;
 0,4160000000;225,4486083984;-40,0621891022;-187,6192092896;-1,8978118896; 0,8714199066;-1,1599063873;
 0,4200000000;152,0943641663;-240,1125431061;86,5008831024;-0,2372264862; 0,1192092896;-1,8894672394;
 0,4240000000;-131,8516731262;-109,2674732208;241,0032749176; 0,7307529449;-1,2099742889;-0,9655952454;
 0,4280000000;-233,9115142822;171,4298725128;62,8066062927;-0,5507469177;-1,2302398682; 0,1537799835;
 0,4320000000;-12,9387378693;214,5369052887;-201,8957138062;-2,1708011627; 0,1251697540; 0,1060962677;
 0,4360000000;225,4259586334;-39,8533344269;-187,7360343933;-1,9049644470; 0,9751319885;-1,1491775513;
 0,4400000000;152,2071361542;-240,1080131531;86,3420963287;-0,0381469727; 0,2133846283;-1,8620491028;
 0,4440000000;-131,7436695099;-109,4605922699;241,0736083984; 0,6675720215;-1,1765956879;-1,1360645294;
 0,4480000000;-233,9880466461;171,3674068451;62,9727840424;-0,6949901581;-1,2385845184; 0,2503395081;
 0,4520000000;-13,0224227905;214,6437168121;-201,9071578979;-2,2566318512; 0,0357627869; 0,0894069672;
 0,4560000000;225,3212928772;-39,8504734039;-187,7744197845;-2,0134449005; 1,0943412781;-1,3554096222;
 0,4600000000;152,2440910339;-240,1154041290;86,3068103790;-0,3767013550; 0,4279613495;-2,0778179169;
