QuickDAQ Data
0001-01-01 00:00:00
Notes:;;
Sample Rate:;250; Hz;
Measurement Type;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;
Channel Name;DT9826-8(00).Ain 1;DT9826-8(00).Ain 2;DT9826-8(00).Ain 3;DT9826-8(00).Ain 4;DT9826-8(00).Ain 5;DT9826-8(00).Ain 6;
X Axis Units;Sec;Sec;Sec;Sec;Sec;Sec;
Y Axis Units;V;V;V;Amps;Amps;Amps;
Seconds;Real;Real;Real;Real;Real;Real;
 0,00000E+000;203,9871215820; 7,8055858612;-214,3709659576;-2,4759769440; 0,9047985077;-0,9095668793;
 0,0040000000;186,2707138062;-228,5463809967;39,9820804596;-0,7593631744; 0,4553794861;-1,8262863159;
 0,0080000000;-89,5986557007;-150,2807140350;238,6524677277; 0,5841255188;-0,9644031525;-0,9381771088;
 0,0120000000;-241,9037818909;134,4301700592;107,6073646545;-0,6473064423;-1,2898445129; 0,3302097321;
 0,0160000000;-60,0407123566;232,0504188538;-172,2707748413;-2,0945072174;-0,0858306885; 0,2992153168;
 0,0200000000;204,2636871338; 7,4222087860;-214,1039371490;-2,0778179169; 0,9870529175;-1,0097026825;
 0,0240000000;185,9183311462;-228,6961078644;40,4660701752;-0,5626678467; 0,5125999451;-1,8477439880;
 0,0280000000;-90,1536941528;-149,8911380768;238,7328147888; 0,4434585571;-0,9644031525;-1,1539459229;
 0,0320000000;-241,8835163116;134,9456310272;107,1717739105;-0,5936622620;-1,3303756714; 0,2074241638;
 0,0360000000;-59,4806671143;231,9114208221;-172,5964546204;-2,1195411682;-0,0572204590; 0,5662441254;
 0,0400000000;204,4761180878; 6,7634582520;-213,8156890869;-2,1994113922; 0,9179115295;-0,5424022675;
 0,0440000000;185,5046749115;-228,8870811462;41,0482883453;-0,7700920105; 0,2944469452;-1,4948844910;
 0,0480000000;-90,6269550323;-149,4295597076;238,8424873352; 0,3635883331;-1,1932849884;-0,9238719940;
 0,0520000000;-241,8577671051;135,3855133057;106,6219806671;-0,5757808685;-1,3637542725; 0,1668930054;
 0,0560000000;-58,9840412140;231,7872047424;-173,0785369873;-2,2625923157;-0,0584125519; 0,3242492676;
 0,0600000000;204,8420906067; 6,2572956085;-213,6013507843;-2,2733211517; 1,0991096497;-0,8523464203;
 0,0640000000;185,1954460144;-229,0344238281;41,6035652161;-0,5233287811; 0,4982948303;-1,8322467804;
 0,0680000000;-91,2024974823;-148,9629745483;238,9481067657; 0,5722045898;-1,0108947754;-1,1408329010;
 0,0720000000;-241,8229579926;135,7939243317;106,1606407166;-0,4637241364;-1,3804435730; 0,3755092621;
 0,0760000000;-58,4201812744;231,6105365753;-173,4430789948;-2,1469593048;-0,0298023224; 0,6568431854;
 0,0800000000;205,1134109497; 5,6939125061;-213,3436203003;-2,3293495178; 0,9894371033;-0,6675720215;
 0,0840000000;184,8540306091;-229,2454242706;42,1574115753;-0,7474422455; 0,4065036774;-1,7547607422;
 0,0880000000;-91,6562080383;-148,5593318939;239,0310764313; 0,3981590271;-0,9262561798;-1,1920928955;
 0,0920000000;-241,7743206024;136,3010406494;105,6702136993;-0,4744529724;-1,3816356659; 0,1740455627;
