QuickDAQ Data
0001-01-01 00:00:00
Notes:;;
Sample Rate:;250; Hz;
Measurement Type;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;
Channel Name;DT9826-8(00).Ain 1;DT9826-8(00).Ain 2;DT9826-8(00).Ain 3;DT9826-8(00).Ain 4;DT9826-8(00).Ain 5;DT9826-8(00).Ain 6;
X Axis Units;Sec;Sec;Sec;Sec;Sec;Sec;
Y Axis Units;V;V;V;Amps;Amps;Amps;
Seconds;Real;Real;Real;Real;Real;Real;
 0,00000E+000;73,4546184540;161,3762378693;-235,7270717621;-2,4151802063; 0,5817413330;-0,0894069672;
 0,0040000000;241,8797016144;-121,8380928040;-122,4703788757;-1,5842914581; 0,8070468903;-1,5449523926;
 0,0080000000;75,9227275848;-238,1899356842;159,9140167236; 0,0059604645;-0,2133846283;-1,9705295563;
 0,0120000000;-195,2426433563;-26,6165733337;221,7321395874; 0,1585483551;-1,0275840759;-0,7009506226;
 0,0160000000;-197,3648071289;220,0996875763;-22,7577686310;-1,4793872833;-0,8153915405; 0,4959106445;
 0,0200000000;72,7872848511;161,8969440460;-235,5127334595;-2,5260448456; 0,7498264313; 0,0011920929;
 0,0240000000;241,8365478516;-121,1552619934;-123,0652332306;-1,6534328461; 1,3208389282;-1,5580654144;
 0,0280000000;76,6208171844;-238,3215427399;159,3894958496; 0,1561641693;-0,0429153442;-1,9431114197;
 0,0320000000;-194,7591304779;-27,3830890656;222,0375537872; 0,3159046173;-1,5187263489;-0,5459785461;
 0,0360000000;-197,8547573090;219,8126316071;-22,0351219177;-1,3875961304;-1,0049343109; 0,5197525024;
 0,0400000000;71,9430446625;162,5363826752;-235,4147434235;-2,4199485779; 0,5733966827;-0,0667572021;
 0,0440000000;241,8677806854;-120,4535961151;-123,8369941711;-1,4650821686; 1,0538101196;-1,4936923981;
 0,0480000000;77,4393081665;-238,4600639343;158,7207317352; 0,2491474152;-0,0035762787;-1,7535686493;
 0,0520000000;-194,2591667175;-28,1674861908;222,3341464996; 0,3075599670;-1,4090538025;-0,4720687866;
 0,0560000000;-198,3447074890;219,4712162018;-21,1615562439;-1,3351440430;-1,2481212616; 0,6031990051;
 0,0600000000;71,1772441864;163,1155014038;-235,1942062378;-2,3472309113; 0,4327297211; 0,0584125519;
 0,0640000000;241,8518066406;-119,7423934937;-124,5620250702;-1,4650821686; 1,1587142944;-1,3947486877;
 0,0680000000;78,1977176666;-238,6171817780;158,1118106842; 0,1168251038; 0,0500679016;-1,8179416656;
 0,0720000000;-193,8304901123;-28,9289951324;222,6583957672; 0,3957748413;-1,1479854584;-0,6294250488;
 0,0760000000;-198,8792419434;219,1860675812;-20,3597545624;-1,2826919556;-0,9489059448; 0,5197525024;
 0,0800000000;70,3983306885;163,6936664581;-234,9750995636;-2,4902820587; 0,5435943604;-0,0691413879;
 0,0840000000;241,8563365936;-119,1339492798;-125,1893043518;-1,7309188843; 0,9012222290;-1,5139579773;
 0,0880000000;78,9754390717;-238,8105392456;157,4881076813;-0,0190734863;-0,2479553223;-1,7714500427;
 0,0920000000;-193,2642459869;-29,7429561615;222,9430675507; 0,2384185791;-1,3935565948;-0,5900859833;
